| 算法 | 平均最优值 | 最差值 | 最好解 | 平均收敛步数 | 执行时间 |
| TSPSOM | 36383.81118300493|38675.75181023254 | 34711.68949368257 | 90.0 | 14.76485710144043 |
| MTSPSOM | 34588.42913752642|35306.95238481698 | 33831.729485764925 | 90.0 | 15.392348837852477 |
| STSPSOM | 36111.451977880504|37736.250729503954 | 34685.25469371358 | 90.0 | 14.806027364730834 |
| CTSPSOM | 36214.686824352226|39358.67160684403 | 34374.15959179292 | 90.0 | 14.856597924232483 |
| DTSPSOM | 34456.05660036684|35947.20381901336 | 33588.343409211484 | 90.0 | 15.018763756752014 |
| ISTSPSOM | 34518.24946258689|35726.01665592447 | 33831.729485764925 | 90.0 | 15.033194994926452 |
| ICTSPSOM | 34172.52799101225|34783.89462903996 | 33588.343409211484 | 90.0 | 15.347703123092652 |
| IDTSPSOM | 34458.087997739676|35328.239376946585 | 33864.96069728464 | 90.0 | 14.779644083976745 |
